epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,20.7512,2.48924,5.11302,2.45326,0.58274,0.36273,0.39653,0.23179,2.7982,3.65321,2.57267,0.00048586,0.00048586,0.00048586
24,21.5141,2.41559,5.05931,2.41927,0.5956,0.40731,0.41485,0.25244,2.7709,3.48518,2.54664,0.00044299,0.00044299,0.00044299
25,22.2796,2.41995,4.70768,2.36331,0.51423,0.45286,0.42332,0.23789,2.8908,3.57045,2.62365,0.00040012,0.00040012,0.00040012
26,23.0607,2.34251,4.70801,2.38485,0.46992,0.42869,0.42962,0.24783,2.91018,3.39006,2.65255,0.00035725,0.00035725,0.00035725
27,23.8206,2.28276,4.63148,2.37674,0.53143,0.42242,0.43478,0.2603,2.77485,3.28251,2.61112,0.00031438,0.00031438,0.00031438
28,24.7137,2.28942,4.60223,2.32321,0.51462,0.41024,0.45294,0.26282,2.72841,3.20668,2.58689,0.00027151,0.00027151,0.00027151
29,25.4764,2.265,4.51931,2.35672,0.53255,0.37056,0.46848,0.27132,2.82863,3.24332,2.5956,0.00022864,0.00022864,0.00022864
30,26.2521,2.31336,4.51834,2.33176,0.61038,0.36465,0.46322,0.27032,2.85936,3.37724,2.58817,0.00018577,0.00018577,0.00018577
1,1.37592,4.07779,8.20297,3.63539,0.00767,0.28021,0.01249,0.00507,2.55622,6.89602,2.40198,0.00010003,0.00010003,0.00010003
2,2.35762,3.60994,7.85869,3.1333,0.01567,0.4881,0.12816,0.07478,2.78063,6.53819,2.28398,0.000207919,0.000207919,0.000207919
3,3.20647,3.318,7.00054,2.79571,0.01423,0.46116,0.11628,0.06382,2.84056,6.57523,2.38531,0.00030895,0.00030895,0.00030895
4,4.01223,3.17375,6.67699,2.80212,0.01708,0.50072,0.10857,0.0547,2.87052,6.64927,2.51101,0.000403121,0.000403121,0.000403121
5,4.81731,3.12772,6.24878,2.74391,0.01443,0.52606,0.10776,0.05123,2.75905,6.58944,2.54311,0.000490433,0.000490433,0.000490433
6,5.61319,3.12334,6.09567,2.68426,0.0158,0.59427,0.08947,0.0459,2.7982,6.41168,2.51284,0.000570885,0.000570885,0.000570885
7,6.42584,2.96903,5.59316,2.6799,0.01797,0.58188,0.09532,0.05019,2.85997,6.37932,2.66244,0.000644479,0.000644479,0.000644479
8,7.21655,3.06252,5.47842,2.7153,0.0219,0.59333,0.15337,0.07953,2.83591,6.11944,2.58644,0.000711213,0.000711213,0.000711213
9,8.01809,3.06353,5.54697,2.71139,0.02227,0.58673,0.18176,0.08347,3.12611,6.24883,2.80142,0.000771088,0.000771088,0.000771088
10,8.817,3.09297,5.14023,2.70878,0.0294,0.69568,0.24407,0.12624,3.03697,5.98273,2.729,0.000824104,0.000824104,0.000824104
11,9.76256,2.94074,4.95564,2.66439,0.02428,0.69533,0.27342,0.14504,3.11016,5.95576,2.79352,0.000870261,0.000870261,0.000870261
12,10.5575,3.04988,5.14867,2.76313,0.09939,0.70927,0.3381,0.19155,2.97104,5.39612,2.6641,0.000909558,0.000909558,0.000909558
13,11.3567,3.0287,5.11194,2.76285,0.64837,0.23325,0.41117,0.21809,3.32293,4.39009,2.81027,0.00091456,0.00091456,0.00091456
14,12.1508,2.89138,4.72662,2.67472,0.52462,0.36167,0.41331,0.2255,3.25993,4.2112,2.8184,0.00087169,0.00087169,0.00087169
15,12.9489,2.96745,4.79506,2.69846,0.5199,0.36479,0.42641,0.2289,3.32274,4.02079,2.79134,0.00082882,0.00082882,0.00082882
16,13.7579,2.8368,4.46419,2.60337,0.54624,0.38569,0.4149,0.21374,3.36871,3.95038,2.82255,0.00078595,0.00078595,0.00078595
17,14.543,2.96662,4.88144,2.71291,0.6458,0.27606,0.3856,0.19617,3.40355,4.29329,2.83815,0.00074308,0.00074308,0.00074308
18,15.4227,2.96102,4.72963,2.73776,0.6936,0.38737,0.47374,0.2424,3.36944,3.60335,2.81664,0.00070021,0.00070021,0.00070021
19,16.2181,2.81583,4.51484,2.64036,0.61153,0.39144,0.45849,0.22926,3.50286,3.54583,2.86157,0.00065734,0.00065734,0.00065734
