epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,111.712,1.13556,1.14466,1.25735,0.64126,0.60954,0.63955,0.39201,1.34562,1.16648,1.38001,0.000764086,0.000764086,0.000764086
49,113.998,1.13915,1.15184,1.25444,0.6705,0.61048,0.63665,0.39526,1.32423,1.11494,1.37345,0.000749939,0.000749939,0.000749939
50,116.314,1.16581,1.20995,1.2968,0.65178,0.62571,0.63575,0.39802,1.30068,1.06321,1.35684,0.000735792,0.000735792,0.000735792
51,118.638,1.19081,1.2464,1.3046,0.69614,0.63105,0.6357,0.40174,1.28455,1.06242,1.34336,0.000721645,0.000721645,0.000721645
52,120.922,1.08911,1.11067,1.2341,0.65948,0.64911,0.63951,0.40417,1.27192,1.07171,1.32972,0.000707498,0.000707498,0.000707498
53,123.204,1.13764,1.1573,1.2612,0.63242,0.67528,0.64958,0.4148,1.27203,1.02808,1.33039,0.000693351,0.000693351,0.000693351
54,125.516,1.16724,1.19504,1.25248,0.62785,0.65156,0.6649,0.42982,1.262,1.01052,1.32496,0.000679204,0.000679204,0.000679204
55,127.819,1.12214,1.11576,1.24628,0.60741,0.70334,0.66758,0.43299,1.26634,1.01664,1.32609,0.000665057,0.000665057,0.000665057
56,130.1,1.13425,1.15421,1.28593,0.60294,0.70691,0.6648,0.42312,1.30539,1.02309,1.34818,0.000650909,0.000650909,0.000650909
57,132.413,1.08964,1.14132,1.239,0.61264,0.67122,0.66449,0.41061,1.31634,1.06522,1.34627,0.000636762,0.000636762,0.000636762
58,134.712,1.08798,1.07343,1.23549,0.62867,0.6249,0.65429,0.40978,1.30626,1.11953,1.34584,0.000622615,0.000622615,0.000622615
59,136.996,1.09667,1.07567,1.24091,0.68526,0.59644,0.65274,0.40792,1.29768,1.11927,1.34995,0.000608468,0.000608468,0.000608468
60,139.322,1.10784,1.05916,1.23169,0.67737,0.6072,0.65181,0.41256,1.2921,1.12105,1.34546,0.000594321,0.000594321,0.000594321
61,141.6,1.02106,1.03083,1.19757,0.67936,0.59946,0.6463,0.4105,1.296,1.11969,1.35065,0.000580174,0.000580174,0.000580174
62,143.896,1.12742,1.08144,1.24573,0.63475,0.62887,0.62867,0.39795,1.2885,1.12844,1.34911,0.000566027,0.000566027,0.000566027
63,146.201,1.05883,1.02614,1.22846,0.63989,0.62,0.62926,0.39224,1.30514,1.16368,1.35748,0.00055188,0.00055188,0.00055188
64,148.466,1.11034,1.15318,1.25812,0.66437,0.58612,0.63045,0.38915,1.33415,1.21481,1.36731,0.000537733,0.000537733,0.000537733
1,3.70204,0.97592,0.93787,1.16189,0.65915,0.63704,0.62406,0.3753,1.40701,1.18159,1.38465,0.00022864,0.00022864,0.00022864
